Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1002020;ZSTO;PANTALON JEAN T.56;374;RE;10;10;ROPA;4;;4;40,00%;29/9/2026;2;
1001895;ZSTO;ALCOHOL LIQUIDO X LITRO;374;RE;30;30;LIMPIEZA;12;;12;40,00%;29/9/2026;11;
1016911;ZSSD;CINTA METRICA X20MT;374;RE;10;10;FERRETERIA;4;;4;40,00%;29/9/2026;1;
1016977;ZSSD;MARCADOR P PIZARRA AZUL;374;RE;18;18;LIBRERIA;8;;8;44,44%;29/9/2026;6;
1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;374;RE;20;20;SEGURIDAD;9;;9;45,00%;29/9/2026;3;
1047702;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.L;374;RE;65;65;INDUMENTARIA;1;29;30;46,15%;29/9/2026;8;
1001885;ZSTO;BOLSAS RESIDUOS XUN 102X130 VERDE;374;RE;750;750;LIMPIEZA;200;150;350;46,67%;29/9/2026;100;
1001684;ZSTO;DELANTALDESCARNE0.60X1.20CONREFUERZO;374;RE;15;15;SEGURIDAD;7;;7;46,67%;29/9/2026;3;
1001866;ZSTO;MARCADOR INDUSTRIAL-NEGROXUN;374;RE;300;300;LIBRERIA;144;;144;48,00%;29/9/2026;43;
1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;374;RE;51;51;FERRETERIA;25;;25;49,02%;29/9/2026;10;
1001894;ZSTO;ALCOHOL EN GEL X LITRO;374;RE;20;20;LIMPIEZA;10;;10;50,00%;29/9/2026;#N/D;
1015854;ZSSD;PRECINTO PLASTICO AL-4 X 200MM;374;RE;10;10;FERRETERIA;5;;5;50,00%;29/9/2026;3;
1001872;ZSTO;RESMA DE HOJA A3 75GR. X UN;374;RE;10;10;LIBRERIA;5;;5;50,00%;29/9/2026;3;
1042519;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N45;374;RE;6;6;SEGURIDAD;3;;3;50,00%;29/9/2026;2;
1017089;ZSSD;ESPATULA METALICA 2PG;374;RE;8;8;FERRETERIA;4;;4;50,00%;29/9/2026;1;
1002071;ZSTO;CAMPERA DESCARNE T.XXXL;374;RE;12;12;SEGURIDAD;6;;6;50,00%;29/9/2026;2;
1001700;ZSTO;CASCO CARCAZA AMARILLO;374;RE;90;90;SEGURIDAD;45;;45;50,00%;29/9/2026;5;
1001869;ZSTO;MARCADORINDUSTRIAL-AMARILLOXUN;374;RE;220;220;LIBRERIA;112;;112;50,91%;29/9/2026;50;
1002058;ZSTO;CAMPERA ABRIGO T. L ROJA CON LOGO;374;RE;50;50;ROPA;26;;26;52,00%;29/9/2026;5;
1016971;ZSSD;NOTAS ADHESIVAS (POST IT) 38X54 MM;374;RE;30;30;LIBRERIA;1;15;16;53,33%;29/9/2026;9;
1047983;ZSCD;TENAZA ARMADOR 1/2 CORTE L.30CM MIN.;374;RE;75;75;FERRETERIA;40;;40;53,33%;29/9/2026;7;
1041939;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XL;374;RE;11;11;INDUMENTARIA;1;5;6;54,55%;29/9/2026;3;
1002014;ZSTO;PANTALON JEAN T.44;374;RE;40;40;ROPA;22;;22;55,00%;29/9/2026;7;
1001745;ZSTO;BOTA GOMA P.ACERO N 41;374;RE;20;20;SEGURIDAD;11;;11;55,00%;29/9/2026;7;
1002050;ZSTO;CAMPERA 2 PIEL T. M;374;RE;27;27;SEGURIDAD;15;;15;55,56%;29/9/2026;4;
1026942;ZSCD;ESCUADRA ALBANIL 45° 20CMx30CM METAL;374;RE;7;7;FERRETERIA;4;;4;57,14%;29/9/2026;#N/D;
1001699;ZSTO;CASCO CARCAZA BLANCO;374;RE;35;35;SEGURIDAD;20;;20;57,14%;29/9/2026;2;
1026943;ZSCD;ESCUADRA ALBANIL 90° 60CMx90CM METAL;374;RE;7;7;FERRETERIA;4;;4;57,14%;29/9/2026;1;
1016975;ZSSD;MARCADOR P PIZARRA ROJO;374;RE;14;14;LIBRERIA;8;;8;57,14%;29/9/2026;6;
1025950;ZSSD;MECHA ACERO RAPIDO D6 MM;374;RE;12;12;FERRETERIA;7;;7;58,33%;29/9/2026;7;
1017974;ZSTO;LIMPIACONTACTOS AEROSOL X240ML;374;RE;12;12;INSUMOS;7;;7;58,33%;29/9/2026;7;
1025951;ZSSD;MECHA ACERO RAPIDO D8 MM;374;RE;12;12;FERRETERIA;7;;7;58,33%;29/9/2026;6;
1001963;ZSTO;CINTA AISLADORA VERDE X10MT;374;RE;50;50;FERRETERIA;30;;30;60,00%;29/9/2026;11;
1001964;ZSTO;CINTA AISLADORA BLANCA;374;RE;25;25;FERRETERIA;15;;15;60,00%;29/9/2026;10;
1001746;ZSTO;BOTA GOMA P.ACERO N 42;374;RE;20;20;SEGURIDAD;12;;12;60,00%;29/9/2026;3;
1041940;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XXL;374;RE;10;10;INDUMENTARIA;1;5;6;60,00%;29/9/2026;4;
1001951;ZSTO;CANDADO 50MM XUN;374;RE;20;20;FERRETERIA;12;;12;60,00%;29/9/2026;5;
1001682;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GR.XL;374;RE;450;450;SEGURIDAD;275;;275;61,11%;29/9/2026;125;
1002057;ZSTO;CAMPERA ABRIGO T. M ROJA CON LOGO;374;RE;31;31;ROPA;19;;19;61,29%;29/9/2026;13;
1002052;ZSTO;CAMPERA 2 PIEL T. XL;374;RE;37;37;SEGURIDAD;23;;23;62,16%;29/9/2026;6;
1001710;ZSTO;CINTA DEMARCAR PELIGRO ECOLOGICA;374;RE;40;40;SEGURIDAD;25;;25;62,50%;29/9/2026;8;
1002021;ZSTO;PANTALON JEAN T.58;374;RE;8;8;ROPA;5;;5;62,50%;29/9/2026;1;
1001686;ZSTO;ANTEOJO GRIS;374;RE;1120;1120;SEGURIDAD;704;;704;62,86%;29/9/2026;280;
1002045;ZSTO;CAMISETA PRIMERA PIEL T.L;374;RE;41;41;SEGURIDAD;26;;26;63,41%;29/9/2026;13;
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;374;RE;100;100;LIMPIEZA;64;;64;64,00%;29/9/2026;27;
1002059;ZSTO;CAMPERA ABRIGO T. XL ROJA CON LOGO;374;RE;45;45;ROPA;29;;29;64,44%;29/9/2026;4;
1042517;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N43;374;RE;45;45;SEGURIDAD;29;;29;64,44%;29/9/2026;5;
1001718;ZSTO;RODILLERA SOLDADOR;374;RE;85;85;SEGURIDAD;48;7;55;64,71%;29/9/2026;30;
1001744;ZSTO;BOTA GOMA P.ACERO N 40;374;RE;9;9;SEGURIDAD;6;;6;66,67%;29/9/2026;3;
1016080;ZSCD;BOTIN CONW 53 BAF MARRON FLOR P.ACER N39;374;RE;15;15;SEGURIDAD;10;;10;66,67%;29/9/2026;6;
1002015;ZSTO;PANTALON JEAN T.46;374;RE;30;30;ROPA;20;;20;66,67%;29/9/2026;10;
1001988;ZSTO;ELECTRODO AWS6013 X 3,25MM X KG;374;RE;60;60;SOLDADURA;40;;40;66,67%;29/9/2026;0;
1042513;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N38;374;RE;12;12;SEGURIDAD;8;;8;66,67%;29/9/2026;3;
1001891;ZSTO;PANOABSORVENTE PARAHIDROCARBUROXPAQ100;374;RE;9;9;LIMPIEZA;6;;6;66,67%;29/9/2026;3;
1001726;ZSTO;SUSPENSION CREMALLERA;374;RE;200;200;SEGURIDAD;135;;135;67,50%;29/9/2026;11;
1002060;ZSTO;CAMPERA ABRIGO T. XXL ROJA CON LOGO;374;RE;35;35;ROPA;24;;24;68,57%;29/9/2026;4;
1001943;ZSTO;ADHESIVO CIANO 20 G XUN;374;RE;13;13;FERRETERIA;9;;9;69,23%;29/9/2026;3;
1047258;ZSCD;MECHA ACERO RAPIDO D12MM;374;RE;20;20;FERRETERIA;14;;14;70,00%;29/9/2026;3;
1001881;ZSTO;MARCADOR INDUSTRIAL - ROJO UNIPAINT X UN;374;RE;240;240;LIBRERIA;168;;168;70,00%;29/9/2026;38;
