Cliente;Material;Tipo material;Texto breve de material;Nombre Fabricante;Numero Pieza de Fabricante;Centro área pl.nec.;Almacén;Caract.planif.nec.;Punto de pedido;Stock alm.máx.;Grupo de compras;Denominación GrpComp;Rubro;SubRubro;Unidad de peso;TIPO DOC;NRO. VA01/VA21;ESTADO ITEM;NRO. OC;FECHA RECEPCION;FECHA PICKING;FECHA CONTABILIZACION VL;FECHA ENTREGA ESPERADA;FECHA DE EMISION NECESIDAD;GRUPO DE COMPRA OC;NRO. SOLPED
00374 TERMINAL PUNTA COLORADA;1042518;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N44;;;MR01;374;RE;18;18;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042519;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N45;;;MR01;374;RE;6;6;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042520;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N46;;;MR01;374;RE;4;4;C28;SEGURIDAD/ROPA/EPP;SEGURIDAD;CALZADO;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1042798;ZSCD;GUANTE LÁTEX NEGRO INDUSTRIAL T10;;;MR01;374;RE;450;450;C28;SEGURIDAD/ROPA/EPP;INDUMENTARIA;EPP;KG;ZPAN;1000095110;SIN TRATAMIENTO;;;;;28/9/2026;8/9/2026;;10159723
00374 TERMINAL PUNTA COLORADA;1042869;ZSSD;LLANA LISA 280MM. X 130MM.;;;MR01;374;V1;5;15;C27;FERRETERIA MR01;FERRETERIA;HERRAMIENTAS MANUALES;KG;ZPAN;1000095139;ADJUDICADO;4500138639;;;;9/10/2026;9/9/2026;C27;10159784
00374 TERMINAL PUNTA COLORADA;1046075;ZSSD;SELLADOR DE ROSCAS LOCTITE 243 X 50 GR.;;;MR01;374;V1;2;4;C18;HORMIGÓN;FERRETERIA;INSUMOS;KG;ZPAN;1000095139;ADJUDICADO;4500138639;;;;9/10/2026;9/9/2026;C27;10159784
00374 TERMINAL PUNTA COLORADA;1046486;ZSTO;CORREA ALTERNADOR;;6205-61-3580;MR01;374;V1;2;2;C03;EQUIPOS;EQUIPOS;?;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1046936;ZSCD;GUANTE LATEX NEGRO INDUSTRIAL T8 XPAR;;;MR01;374;RE;13;13;C28;SEGURIDAD/ROPA/EPP;INDUMENTARIA;EPP;KG;ZPAN;1000095110;SIN TRATAMIENTO;;;;;28/9/2026;8/9/2026;;10159723
00374 TERMINAL PUNTA COLORADA;1047245;ZSCD;MAZA MINERO 1KG C/ CABO PLASTICO;;;MR01;374;RE;10;10;C27;FERRETERIA MR01;FERRETERIA;HERRAMIENTA MANUAL;KG;SIN PEDIDO;;;;;;;;;;
00374 TERMINAL PUNTA COLORADA;1047246;ZSCD;MAZA MINERO 2KG C/ CABO PLASTICO;;;MR01;374;V1;2;4;C27;FERRETERIA MR01;FERRETERIA;HERRAMIENTA MANUAL;KG;ZPAN;1000095479;SIN TRATAMIENTO;;;;;14/10/2026;14/9/2026;;10160273
